optim,name_db,type_prob,score_type,run_total,time_limit,elapsed_time,num_rows,num_cols,num_classes,train_val_size,test_size,NFS,FINAL_SCORE_VAL,FINAL_SCORE_TST,name_file,model
BO,kc1,binary,logloss,3,120.0,1.4728372852007547,2109,21,2,1054,1055,21,0.34033379736591274,0.369217,kc1.csv,"LogisticRegression(C=0.046635584519268816, max_iter=5000)"
BO,kc1,binary,logloss,4,120.0,1.481899114449819,2109,21,2,1054,1055,21,0.3331406655704231,0.37236,kc1.csv,"LogisticRegression(C=0.14824379188762812, max_iter=5000)"
BO,pc2,binary,logloss,0,120.0,1.4626311500867208,5589,36,2,2794,2795,36,0.022696463393934337,0.025068,pc2.csv,"LogisticRegression(C=0.06480453088891938, max_iter=5000)"
BO,pc2,binary,logloss,1,120.0,1.4884632150332133,5589,36,2,2794,2795,36,0.023216997658231618,0.023264,pc2.csv,"LogisticRegression(C=0.03679606097070422, max_iter=5000)"
BO,pc2,binary,logloss,2,120.0,1.4166871865590414,5589,36,2,2794,2795,36,0.022440665222339666,0.025865,pc2.csv,"LogisticRegression(C=0.07933205014396782, max_iter=5000)"
BO,pc2,binary,logloss,3,120.0,1.4371182640393576,5589,36,2,2794,2795,36,0.023105134027686335,0.02583,pc2.csv,"LogisticRegression(C=0.0786675021710773, max_iter=5000)"
BO,MagicTelescope,binary,logloss,0,120.0,1.4934552907943726,19020,10,2,9510,9510,10,0.45664178846704406,0.459834,MagicTelescope.csv,"LogisticRegression(C=0.20422380185354813, max_iter=5000)"
BO,MagicTelescope,binary,logloss,1,120.0,1.0835346500078837,19020,10,2,9510,9510,10,0.4567490036693547,0.459822,MagicTelescope.csv,"LogisticRegression(C=0.4457925675408216, max_iter=5000)"
BO,MagicTelescope,binary,logloss,2,120.0,1.5111139098803201,19020,10,2,9510,9510,10,0.4566989094546705,0.459835,MagicTelescope.csv,"LogisticRegression(C=0.1986297530436662, max_iter=5000)"
BO,MagicTelescope,binary,logloss,3,120.0,1.1240289767583211,19020,10,2,9510,9510,10,0.45641203561371635,0.459826,MagicTelescope.csv,"LogisticRegression(C=0.30545122929405333, max_iter=5000)"
BO,MagicTelescope,binary,logloss,4,120.0,1.1417974789937337,19020,10,2,9510,9510,10,0.45634343761658525,0.459824,MagicTelescope.csv,"LogisticRegression(C=0.35187730373914317, max_iter=5000)"
BO,eeg-eye-state,binary,logloss,0,120.0,5.220737548669179,14980,14,2,7490,7490,14,0.6462339135393516,0.636027,eeg.csv,"LogisticRegression(C=926.1865209404938, max_iter=5000)"
BO,eeg-eye-state,binary,logloss,1,120.0,5.225798392295838,14980,14,2,7490,7490,14,0.646064616946247,0.635964,eeg.csv,"LogisticRegression(C=959.3437519836647, max_iter=5000)"
BO,eeg-eye-state,binary,logloss,2,120.0,5.195796124140421,14980,14,2,7490,7490,14,0.6463216869331223,0.635971,eeg.csv,"LogisticRegression(C=971.8140112019278, max_iter=5000)"
BO,eeg-eye-state,binary,logloss,3,120.0,5.000360520680745,14980,14,2,7490,7490,14,0.646227299009376,0.636045,eeg.csv,"LogisticRegression(C=944.4296792667362, max_iter=5000)"
BO,eeg-eye-state,binary,logloss,4,120.0,5.339453367392222,14980,14,2,7490,7490,14,0.6461167417540177,0.635962,eeg.csv,"LogisticRegression(C=999.999999999998, max_iter=5000)"
BO,ringnorm,binary,logloss,0,120.0,1.4138769865036012,7400,20,2,3700,3700,20,0.5138496540735168,0.530793,ringnorm.csv,"LogisticRegression(C=0.07126583352681676, max_iter=5000)"
BO,ringnorm,binary,logloss,1,120.0,1.381244158744812,7400,20,2,3700,3700,20,0.5126356733654704,0.530825,ringnorm.csv,"LogisticRegression(C=0.07749795023362545, max_iter=5000)"
BO,ringnorm,binary,logloss,2,120.0,1.4016935427983601,7400,20,2,3700,3700,20,0.5139344925036698,0.530821,ringnorm.csv,"LogisticRegression(C=0.07673427248212433, max_iter=5000)"
BO,ringnorm,binary,logloss,3,120.0,1.414341143767039,7400,20,2,3700,3700,20,0.5128554566345909,0.530875,ringnorm.csv,"LogisticRegression(C=0.08882387983630707, max_iter=5000)"
BO,ringnorm,binary,logloss,4,120.0,1.449734890460968,7400,20,2,3700,3700,20,0.5143758547169347,0.53079,ringnorm.csv,"LogisticRegression(C=0.07072698492332744, max_iter=5000)"
BO,twonorm,binary,logloss,0,120.0,1.5236963868141173,7400,20,2,3700,3700,20,0.053746154487632355,0.067362,twonorm.csv,"LogisticRegression(C=0.8615002950548469, max_iter=5000)"
BO,twonorm,binary,logloss,1,120.0,1.390427537759145,7400,20,2,3700,3700,20,0.055577624283168856,0.066867,twonorm.csv,"LogisticRegression(C=0.5582837317149134, max_iter=5000)"
BO,twonorm,binary,logloss,2,120.0,1.5306941946347554,7400,20,2,3700,3700,20,0.055191339359349154,0.067031,twonorm.csv,"LogisticRegression(C=0.6483426407668111, max_iter=5000)"
BO,twonorm,binary,logloss,3,120.0,1.4739540576934815,7400,20,2,3700,3700,20,0.05497478007112779,0.067058,twonorm.csv,"LogisticRegression(C=0.664448641429239, max_iter=5000)"
BO,twonorm,binary,logloss,4,120.0,1.5513047019640605,7400,20,2,3700,3700,20,0.05285541285100194,0.067601,twonorm.csv,"LogisticRegression(C=1.0573562421679341, max_iter=5000)"
BO,CreditCardSubset,binary,logloss,2,120.0,1.627202328046163,14240,30,2,7120,7120,30,0.006133777516910723,0.00834,CreditCardSubset.csv,"LogisticRegression(C=0.005449435378330966, max_iter=5000)"
BO,PhishingWebsites,binary,logloss,0,120.0,2.1901383638381957,11055,68,2,5527,5528,68,0.15189453676088166,0.142692,PhishingWebsites.csv,"LogisticRegression(C=2.463883869067203, max_iter=5000)"
BO,PhishingWebsites,binary,logloss,1,120.0,2.0076703588167826,11055,68,2,5527,5528,68,0.15276266076978567,0.143161,PhishingWebsites.csv,"LogisticRegression(C=1.187907918367478, max_iter=5000)"
BO,PhishingWebsites,binary,logloss,2,120.0,2.1146094679832457,11055,68,2,5527,5528,68,0.15327140629658206,0.143457,PhishingWebsites.csv,"LogisticRegression(C=0.9022621881026623, max_iter=5000)"
BO,PhishingWebsites,binary,logloss,3,120.0,2.141815765698751,11055,68,2,5527,5528,68,0.15257923993853606,0.143023,PhishingWebsites.csv,"LogisticRegression(C=1.4012208829800945, max_iter=5000)"
BO,PhishingWebsites,binary,logloss,4,120.0,2.2617088834444683,11055,68,2,5527,5528,68,0.15201629238338138,0.143115,PhishingWebsites.csv,"LogisticRegression(C=1.2513276311071306, max_iter=5000)"
BO,clean2,binary,logloss,0,120.0,1.8465862353642781,6598,168,2,3299,3299,168,1.1809164518127188e-05,9e-06,clean2.csv,"LogisticRegression(C=999.8376676002797, max_iter=5000)"
